title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
Cloud Services with Big Data Provide a Solution for Monitoring and Tracking Sustainable Development Goals,"Wu, Bingfang and Tian, Fuyou and Zhang, Miao and Zeng, Hongwei and Zeng, Yuan",2020,11709,"The paper discusses the importance of using cloud services with big data for monitoring and tracking the Sustainable Development Goals (SDGs). It explores the potential of integrating crowdsourcing and public Earth Observation (EO) data to provide cost-effective solutions for monitoring the SDGs, particularly in low-income countries. The paper emphasizes the need for validation and quality control of public EO data to ensure data accuracy and reliability for SDG monitoring.    Key methods used in the paper include:  1. Utilizing crowdsourcing data collection methods for acquiring geographically located data from non-professional users.  2. Leveraging public EO data products, such as satellite imagery, for monitoring and tracking progress towards the SDGs.  3. Implementing cloud-based big data services and platforms, such as Google Earth Engine and Alibaba Cloud, for processing and analyzing large-scale EO data efficiently.  4. Developing tools and functionalities within cloud services to facilitate data integration, visualization, and analysis tailored to specific SDG thematic areas.    Challenges discussed in the paper include ensuring data quality, integration with existing statistical systems, streamlining data collection processes, enhancing public participation in monitoring the SDGs, and the need for customized cloud services to support national or international SDG monitoring efforts. The paper highlights the opportunities and challenges associated with using cloud services with big data for achieving the SDGs through improved data collection, analysis, and decision-making processes.",NA,1,Exclude,Data not valued,NA,NA,NA,NA,NA,NA,
Satellite Earth Observation Value Added Services in the Nigerian Economy,Zahrah Naankwat Musa} and {Halilu A. Shaba,2010,4589,"The methods employed in the paper ""Satellite Earth Observation Value-Added Services in the Nigerian Economy"" focus on assessing the societal benefits of satellite or Earth Observation (EO) data in addressing various environmental challenges in Nigeria. These methods are not explicitly stated in the provided summary, but based on the content, the following techniques and approaches can be inferred:    1. **Utilization of Satellite Remote Sensing and GIS Technologies**: The paper highlights the use of satellite remote sensing techniques and Geographic Information Systems (GIS) to identify, map, and analyze environmental issues in Nigeria. High-resolution satellite data is mentioned as a key resource for monitoring and managing the environment, aiding in disaster forecasting, management, and mitigation.    2. **Assessment of Environmental Problems in Nigeria**: The authors identify several environmental challenges in Nigeria, such as desertification, flooding, erosion, oil spillage, and deforestation. The application of remote sensing and GIS in addressing these issues is emphasized, showcasing the importance of satellite data in understanding and tackling these problems.    3. **Case Studies of Satellite Earth Observation Projects**: The paper discusses various projects undertaken by public and private entities in Nigeria using satellite Earth Observation data. Examples include mapping and monitoring gully erosion, environmental change research in the Niger Delta, flood frequency analysis, early warning systems for food security, and agricultural land use planning. These case studies demonstrate the practical application and effectiveness of satellite data in addressing environmental concerns.    4. **Analysis of Private Sector Involvement**: The paper highlights the role of private companies in providing value-added satellite Earth Observation services in Nigeria. Examples of private firms offering services in hydrology, geology, construction, waste management, and oil and gas sectors are outlined. The geographical distribution of these companies, their services, and partnerships with foreign entities are discussed to paint a comprehensive picture of the private sector's involvement.    5. **Evaluation of Future Opportunities for Small to Medium Enterprises**: The authors discuss potential opportunities for small to medium-sized enterprises in expanding the provision of satellite Earth Observation services. They mention the need for SAR services to address certain environmental issues, opportunities in oil pipeline monitoring, and the use of radar imagery for security purposes. The paper also highlights the importance of satellite data in addressing climate change impacts and enhancing resource management in Nigeria.    Overall, the paper provides insights into the methods used to leverage satellite Earth Observation data for environmental monitoring and management in the Nigerian economy, emphasizing the significance of satellite technologies in addressing pressing environmental challenges and fostering sustainable development.",NA,1,Exclude,Data not valued,NA,NA,NA,NA,NA,NA,
Assimilation of GRACE Terrestrial Water Storage Data into a Land Surface Model: Results for the Mississippi River Basin,"Zaitchik, Benjamin F. and Rodell, Matthew and Reichle, Rolf H.",2008,12515,"The paper by Zaitchik et al. (2008) focuses on assimilating data from the Gravity Recovery and Climate Experiment (GRACE) system of satellites to improve the simulation of water storage and fluxes in the Mississippi River basin using a Catchment Land Surface Model (CLSM). The authors assimilated monthly terrestrial water storage anomalies derived from GRACE for different subbasins of the Mississippi River into the CLSM using an Ensemble Kalman Smoother from January 2003 to May 2006.    The methods involve disaggregating the coarse-scale GRACE observations onto the finer-resolution model elements, accounting for different water storage components such as groundwater, soil moisture, vegetation, surface water, snow, and ice. The ensemble smoother updates the model states based on the difference between the observations and the model estimates, considering error variances and cross correlations. The assimilation process is performed iteratively at the subbasin level to improve the model simulation compared to open-loop simulations.    The results of the assimilation show enhanced skill in capturing groundwater variability, increased correlation between simulated water storage and gauged river flow, and improved simulation performance for smaller watersheds within the Mississippi basin. The assimilation of GRACE data leads to better agreement with observational data and a more accurate representation of the seasonal water cycle variability.    Overall, the study demonstrates the potential of using GRACE data assimilation with a land surface model to improve the estimation and understanding of water storage dynamics in hydrological applications.",NA,1,Exclude,Data not valued,NA,NA,NA,NA,NA,NA,
A User-Driven Approach to Determining Critical Earth Observation Priorities for Societal Benefit,"Zell, Erica and Huff, Amy K. and Carpenter, Adam T. and Friedl, Lawrence A.",2012,9956,"The paper presents a user-driven approach to determining critical Earth observation priorities for societal benefit across various sectors. The analysis is organized around the Group on Earth Observations' (GEO) Societal Benefit Areas (SBAs) including agriculture, biodiversity, climate, disasters, ecosystems, energy, health, water, and weather. The methods used in the study involve two stages: in the first stage, critical observations for each SBA are determined based on user needs expressed in publicly available documents. In the second stage, an ensemble of four statistically robust methods is used to prioritize the observations identified in individual SBAs based on their criticality and commonality across multiple SBAs.    The study results in a ranking of 152 critical Earth observation priorities, with the top 10 observations being precipitation, soil moisture, surface air temperature, land cover, surface wind speed, vegetation cover, surface humidity, urbanization, vegetation type, and surface wind direction and sea surface temperature. The paper emphasizes the importance of understanding diverse user needs to maximize Earth observation benefits for society, informing data providers to make informed decisions in developing prioritization assessments for Earth observation systems. The study provides a foundation for engaging data providers and users in setting observation priorities and investment options.",NA,1,Exclude,Data not valued,Keep in mind for identifying gaps later on - papers that present priorities compared to implementations,NA,NA,NA,NA,NA,
Empowering Brazilian Unprivileged Communities with High Geotechnological Tools,"Brito, Patricia Lustosa and Reis, Daniel Nadier Cavalcanti and Brito, Ricardo Lustosa and {de Oliveira Fernandes}, Vivian and Alixandrini, Mauro",2013,6537,"This research paper discusses various methods used to empower Brazilian unprivileged communities with high geotechnological tools such as satellite images, GPS, geobrowsers, collaborative internet maps, and others. The methods used to estimate or quantify the societal benefits of satellite or Earth Observation data include:    1. Global Navigation Satellite System (GNSS): The paper discusses the use of GNSS, such as GPS, to determine the position on Earth and obtain information like velocity, area, and route. It also mentions how mobile phones with GPS can collect and transmit location data.    2. Geobrowsers: The paper explains how geobrowsers like Google Earth and Google Maps provide maps and satellite images for visualizing locations on Earth. It discusses the importance of geobrowsers in exchanging and distributing location-based information.    3. Remote Sensing Products: The research paper delves into using satellite images and aerial photographs for remote sensing purposes. It talks about how these images can be visually interpreted and used to identify features on the Earth's surface.    4. Geographic Information Systems (GIS): The paper explores the use of GIS tools for storing, organizing, manipulating, and visualizing geographical data. It highlights the importance of GIS software in map analysis and presentation.    5. Collaborative Mapping: The research discusses collaborative mapping initiatives where user-generated geographical information is shared, often through crowdsourcing or participatory sensing applications. It presents examples of projects like Wikimapia that allow communities to update maps and share points of interest.    6. Methodology: The paper outlines the methodology used to identify and catalog Brazilian projects involving community mapping. It explains the search process, keywords used, and platforms accessed to gather information on collaborative mapping projects in Brazil.    Overall, the paper demonstrates how high geotechnological tools can be utilized to engage and empower unprivileged communities in Brazil, facilitating their active participation in sustainable territory planning and management.",NA,1,Exclude,Data not valued; Review,"Collaborative mapping, engaging underprivileged communities in Brazil.  Perhaps useful for seeing how underprivileged communities can contribute value, types of values, etc; but there is no valuation of data here",NA,NA,NA,NA,NA,
Operational Use and Impact of Satellite Remotely Sensed Ocean Surface Vector Winds in the Marine Warning and Forecasting Environment,"Chang, Paul and Jelenak, Zorena and Sienkiewicz, Joseph and Knabb, Richard and Brennan, Michael and Long, David and Freeberg, Mark",2009,10217,"The research presented in this paper focuses on the operational use and impact of satellite remotely sensed ocean surface vector winds (OSVW) in marine warning and forecasting environments. The study highlights the extensive benefits of utilizing data from satellites like QuikScat to improve the accuracy and efficiency of weather forecasting and marine warnings. Key methods used in this research include data analysis, impact assessments, user studies, and validation of wind retrieval algorithms.    The study involved collaborating with various stakeholders, including NOAA, NWS, private sector entities, and academia, to evaluate the effectiveness of incorporating satellite OSVW data into operational forecasting processes. The research team quantified the impacts of using QuikScat OSVW data in short-term weather warnings and forecasting, especially in predicting tropical cyclones. The results showed significant improvements in warning accuracy and lead times as a result of integrating satellite data into operational systems.    Additionally, the study involved training operational forecasters on how to interpret and utilize the QuikScat OSVW data effectively. This training helped optimize the display capabilities of forecasters' workstations and improve the understanding and use of satellite-derived wind information.    Overall, the research demonstrated the substantial societal benefits of satellite OSVW data in enhancing marine warning and forecasting capabilities. The methods used in this study involved a collaborative approach to assess the impact, train users, validate data, and improve operational processes based on satellite-derived information.",NA,1,Exclude,Data not valued,"Improvements in warning times and accuracy as a result of integrating satellite data? lots of examples of use and thus implicit value, but explicit valuation is not done",NA,improved early warning for marine extreme weather,NA,QuickSCAT,disaster response,
Earth Observation in a Cost-Benefit Analysis Perspective: Cosmo SkyMed Satellites of the Italian Space Agency,"Cl{\`o}, Stefano and Florio, Massimo and Morretta, Valentina and Vurchio, Davide",NA,13724,"The methods outlined in the paper involve a comprehensive assessment of the socio-economic impact of the Italian Space Agency (ASI) concerning the creation of innovative products and services generated by Earth Observation (EO) data, with a focus on the Cosmo-SkyMed (CSK) satellites. Here is a summary of the methods used to estimate or quantify the societal benefits of satellite or Earth Observation data in a cost-benefit analysis perspective:    1. **Data Collection and Analysis:**     - The paper utilizes data from various sources, including ASI, E-GEOS, and the Italian Ministry of Defense.     - Satellite data from the CSK constellation is acquired and processed using synthetic aperture radar (SAR) technology with different modes like spotlight, ping-pong, stripmap, scansar WR, and scansar HR.      2. **Literature Review and Bibliometric Analysis:**     - The methods include a review of academic publications related to CSK data to analyze the types, trends, and geographic distribution of these publications using Scopus database.     - A bibliometric analysis was conducted to understand the volume of academic works, their distribution across journals, and the geographical distribution of authors.      3. **Case Study - Municipality of Ventimiglia:**     - A case study was conducted in collaboration with the Municipality of Ventimiglia to showcase the practical applications of CSK data.     - The study focused on monitoring coastline erosion, identifying riverbed sediment, and detecting illegal constructions using CSK data processed by an Italian small business, Nemea Sistemi.      4. **Barriers and Governance Analysis:**     - Identified obstacles hindering the utilization of satellite data, such as cognitive barriers, economic constraints, and institutional challenges related to data governance and policies to overcome these barriers.     - Analyzed the organization and dissemination of EO data at the local level in Italy, highlighting existing barriers and proposing solutions to promote wider utilization of satellite data.    5. **Quantifying Socio-Economic Benefits:**     - Identified potential socio-economic benefits from using CSK data, such as increased tax revenues, reduced monitoring costs, and improved identification of risky activities.     - Evaluated the deterrent effect of satellite data on illegal activities, considering factors like tax evasion, citizen security, and environmental impact assessment.    6. **Future Research Agenda:**     - Proposed future research directions to conduct a detailed cost-benefit analysis comparing the operational costs of CSK with the socio-economic benefits derived from the utilization of satellite data in monitoring natural phenomena and human activities.     - Highlighted the need for further studies on the downstream space sector, impact assessment of EO data, and policy evaluation to optimize the dissemination and application of CSK data for societal benefits.",NA,1,Exclude,Data not valued,"Lit review, case study - barriers and governance analysis.  Lit review on examples of valuations for EO data.  For this, socio-economic benefits are asserted but not quantified; method is not clearly stated.  Case study: CSK data and law enforcement",NA,NA,NA,Cosmo SkyMed,NA,
CEOS Contributions to Informing Energy Management and Policy Decision Making Using Space-Based Earth Observations,"Eckman, Richard S. and Stackhouse, Paul W.",2012,4516,"The paper describes a variety of methods used to estimate and quantify the societal benefits of satellite or Earth Observation data in the energy sector. The methods employed include stakeholder engagement and marketing, engagement with professional societies, presenting research at conferences, utilizing publications in traditional and web-based formats, creating an internet presence for search engine visibility, creating tailored data products for end-users, and collaborating with international organizations.     Several case studies are presented in the paper, demonstrating the utility of data sets derived from Earth observations in enhancing decision-making in the energy sector. These case studies include the use of tailored data products for renewable energy resource assessment, the application of data in decision support tools like the RetScreen and HOMER models, and the utilization of Earth observations to forecast space weather impacts on the power grid.     Overall, the methods described in the paper highlight the importance of engaging with stakeholders and end-users, providing data in formats familiar and useful to decision makers, and collaborating with international partners to effectively leverage Earth observation data for societal benefit in the energy sector.",NA,1,Exclude,Data not valued,"Stakeholder engagement, improving dissemination of info/data - multiple case studies.  This does not seem to be about valuing data, but rather implicit value",NA,NA,NA,NA,NA,
Free Satellite Imagery and Digital Elevation Model Analyses Enabling Natural Resource Management in the Developing World: Case Studies from Eastern Indonesia,"Fisher, Rohan Peter and Hobgen, Sarah Elizabeth and Haleberek, Kristianus and Sula, Nelson and Mandaya, Iradaf",2017,11572,"The paper explores the use of free satellite imagery, digital elevation data, and open-source spatial analysis software for natural resource management in developing countries, focusing on Eastern Indonesia. Here are the main methods used in the paper to estimate or quantify the societal benefits of using satellite or Earth Observation data:    1. **Case Studies**: The paper presents case studies from Eastern Indonesia where local government and NGOs use free geospatial data and GIS software to improve evidence-based natural resource management. The cases focus on raster data applications for satellite image analysis and terrain modeling.    2. **Methodological Approach**:     - **Usage of Free Data**: Landsat 8 and Landsat 5 imagery, SRTM digital elevation data, and WorldClim modelled rainfall data were utilized in the analysis.     - **GIS Software**: The paper primarily uses SAGA GIS for training and analysis due to its ease of use, wide compatibility with standard GIS data formats, and active development team.     - **Spatial Analysis Techniques**: Techniques such as object-based image analysis, segmentation, and classification were applied to derive meaningful land cover information.    3. **Spatial Analysis Examples**:     - **Modeling Impacts from Small-Scale Mining**: Analyzing the impacts of artisanal and small-scale mining on land cover and potential off-site mining impacts through sediment flow modeling.     - **Catchment Function Analysis**: Assessing erosion risk using the Revised Universal Soil Loss Equation (RUSLE) to target erosion remediation and reforestation projects.     - **Seasonal Fire Mapping**: Mapping fire frequency to understand its impact on landscapes and inform fire management programs.     - **Forest Cover Change Mapping**: Analyzing changes in forest cover to evaluate reforestation projects and propose new interventions.    4. **Evaluation Criteria**:     - The paper evaluates the mentioned case studies against criteria suggested by McCall and Dunn (2012) for participatory GIS to contribute to good governance, including strengthening legitimacy, creating respect for local knowledge, developing equity, demonstrating competence, and creating accountability.    The paper suggests that using free and open-source geospatial tools and data can contribute significantly to improved natural resource management, promote good governance, build local capacity, and enhance transparency and accountability in decision-making processes.",NA,1,Exclude,EO data not used; data not valued,"Might conflate GIS and EO data… “The paper evaluates the mentioned case studies against criteria suggested by McCall and Dunn (2012) for participatory GIS to contribute to good governance, including strengthening legitimacy, creating respect for local knowledge, developing equity, demonstrating competence, and creating accountability”",NA,NA,NA,NA,NA,
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,"Gleason, Louis",2022,8576,"The paper proposes the use of satellite technology and Earth Observation (EO) methods to improve the surveillance and tracking of pandemic data, notably in locations with limited access to traditional healthcare infrastructure. The methods outlined include using satellites to track viral vectors, identify mass burial sites, and predict the movement of potential disease vectors.     In particular, tele-epidemiology is highlighted as a technique that utilizes satellite data to create geographic models of viral dispersion, aiding in identifying vulnerable areas and emerging epicenters of infection. Remote sensing techniques such as ground-penetrating radar and electrical earth resistance are mentioned as effective tools for locating concealed mass grave sites.     Moreover, the paper emphasizes the importance of satellite imagery in documenting instances of mass burials, such as those in remote or under-resourced areas, which may otherwise go unnoticed or unrecorded. Analysis of such data from mass graves can provide more accurate and inclusive records of the impact of pandemics, correcting historical amnesia and ensuring a more just historical narrative.    Overall, the methods proposed in the paper aim to address disparities in data collection and historical documentation related to pandemics, leveraging satellite technology to fill gaps in surveillance infrastructure and provide a more comprehensive understanding of pandemic history.",NA,1,Exclude,data not valued,"Tele-epidemiology - addressing disparities in data to fill gaps and provide a better understanding of pandemic history.  Interesting, with concrete examples of potential benefits, but no actual measurement of benefit",NA,NA,NA,NA,NA,
