title,topic,prob
Research on the Boundary Delimitation Method of National Park Based on Cultural Service Protection,topic  17,0.208
Research on the Boundary Delimitation Method of National Park Based on Cultural Service Protection,topic  40,0.052
Research on the Impact of Water Conservancy Projects on Downstream Floodplain Wetlands-Taking Yimin River as an Example,topic  2,0.111
Research on the Impact of Water Conservancy Projects on Downstream Floodplain Wetlands-Taking Yimin River as an Example,topic  11,0.293
Research on the Impact of Water Conservancy Projects on Downstream Floodplain Wetlands-Taking Yimin River as an Example,topic  29,0.544
"Research on the Siting of Rural Public Cultural Space Based on the Path-Clustering Algorithm: A Case Study of Yumin Township, Yushu City, Jilin Province, China",topic  8,0.061
"Research on the Siting of Rural Public Cultural Space Based on the Path-Clustering Algorithm: A Case Study of Yumin Township, Yushu City, Jilin Province, China",topic  16,0.154
"Research on the Siting of Rural Public Cultural Space Based on the Path-Clustering Algorithm: A Case Study of Yumin Township, Yushu City, Jilin Province, China",topic  40,0.712
"Research on the Siting of Rural Public Cultural Space Based on the Path-Clustering Algorithm: A Case Study of Yumin Township, Yushu City, Jilin Province, China",topic  46,0.068
Research on the effects of Land use change on ecosystem services value of Loess Plateau - a case study of Longxi County,topic  2,0.568
Research on the effects of Land use change on ecosystem services value of Loess Plateau - a case study of Longxi County,topic  11,0.301
Research on the effects of Land use change on ecosystem services value of Loess Plateau - a case study of Longxi County,topic  48,0.077
Research opportunities from emerging atmospheric observing and modeling capabilities,topic  7,0.257
Research opportunities from emerging atmospheric observing and modeling capabilities,topic  8,0.393
Research opportunities from emerging atmospheric observing and modeling capabilities,topic  18,0.054
Research opportunities from emerging atmospheric observing and modeling capabilities,topic  20,0.109
Research opportunities from emerging atmospheric observing and modeling capabilities,topic  47,0.112
Research progress on the agriculture drought disaster risk and its research theoretical framework,topic  1,0.271
Research progress on the agriculture drought disaster risk and its research theoretical framework,topic  11,0.208
Research progress on the agriculture drought disaster risk and its research theoretical framework,topic  39,0.326
Research progress on the agriculture drought disaster risk and its research theoretical framework,topic  41,0.142
"Residency, Site Fidelity, and Regional Movement of Tiger Sharks (<i>Galeocerdo cuvier</i>) at a Pupping Location in the Bahamas",topic  25,0.456
"Residency, Site Fidelity, and Regional Movement of Tiger Sharks (<i>Galeocerdo cuvier</i>) at a Pupping Location in the Bahamas",topic  26,0.525
Residual Remaining Useful Life Prediction Method for Lithium-Ion Batteries in Satellite With Incomplete Healthy Historical Data,topic  40,0.994
Resilience Aspects in the Sensor Web Infrastructure for Natural Disaster Monitoring and Risk Assessment Based on Earth Observation Data,topic  14,0.267
Resilience Aspects in the Sensor Web Infrastructure for Natural Disaster Monitoring and Risk Assessment Based on Earth Observation Data,topic  18,0.486
Resilience Aspects in the Sensor Web Infrastructure for Natural Disaster Monitoring and Risk Assessment Based on Earth Observation Data,topic  20,0.154
Resilience Aspects in the Sensor Web Infrastructure for Natural Disaster Monitoring and Risk Assessment Based on Earth Observation Data,topic  39,0.085
Resource of Involvement as a Psychological Characteristic of the Correspondence Degree between a Person and the Educational Environment,topic  43,0.995
Response of ecosystem services to land use and cover change: A case study in Chengdu City,topic  2,0.386
Response of ecosystem services to land use and cover change: A case study in Chengdu City,topic  11,0.078
Response of ecosystem services to land use and cover change: A case study in Chengdu City,topic  48,0.528
Response of overwintering caribou to burned habitat in northwest Alaska,topic  25,0.229
Response of overwintering caribou to burned habitat in northwest Alaska,topic  44,0.736
"Responses of Ecosystem Services to Urbanization-Induced Land Use Changes in Ecologically Sensitive Suburban Areas in Hangzhou, China",topic  2,0.618
"Responses of Ecosystem Services to Urbanization-Induced Land Use Changes in Ecologically Sensitive Suburban Areas in Hangzhou, China",topic  11,0.134
"Responses of Ecosystem Services to Urbanization-Induced Land Use Changes in Ecologically Sensitive Suburban Areas in Hangzhou, China",topic  16,0.111
"Responses of Ecosystem Services to Urbanization-Induced Land Use Changes in Ecologically Sensitive Suburban Areas in Hangzhou, China",topic  48,0.114
"Responses of NDVI to Climate Change and LUCC along Large-Scale Transportation Projects in Fragile Karst Areas, SW China",topic  11,0.306
"Responses of NDVI to Climate Change and LUCC along Large-Scale Transportation Projects in Fragile Karst Areas, SW China",topic  15,0.23
"Responses of NDVI to Climate Change and LUCC along Large-Scale Transportation Projects in Fragile Karst Areas, SW China",topic  24,0.347
Responses of lakeshore wetlands landscape to water levels changes in Poyang Lake,topic  2,0.113
Responses of lakeshore wetlands landscape to water levels changes in Poyang Lake,topic  3,0.087
Responses of lakeshore wetlands landscape to water levels changes in Poyang Lake,topic  6,0.362
Responses of lakeshore wetlands landscape to water levels changes in Poyang Lake,topic  11,0.304
Responses of lakeshore wetlands landscape to water levels changes in Poyang Lake,topic  32,0.062
Retrieval of Fractional Snow Cover over High Mountain Asia Using 1 km and 5 km AVHRR/2 with Simulated Mid-Infrared Reflective Band,topic  13,0.075
Retrieval of Fractional Snow Cover over High Mountain Asia Using 1 km and 5 km AVHRR/2 with Simulated Mid-Infrared Reflective Band,topic  45,0.051
Retrieval of Fractional Snow Cover over High Mountain Asia Using 1 km and 5 km AVHRR/2 with Simulated Mid-Infrared Reflective Band,topic  47,0.35
Retrieval of Fractional Snow Cover over High Mountain Asia Using 1 km and 5 km AVHRR/2 with Simulated Mid-Infrared Reflective Band,topic  48,0.116
Retrieval of Fractional Snow Cover over High Mountain Asia Using 1 km and 5 km AVHRR/2 with Simulated Mid-Infrared Reflective Band,topic  49,0.387
Retrieval of river discharge solely from satellite imagery and at-many-stations hydraulic geometry: Sensitivity to river form and optimization parameters,topic  7,0.392
Retrieval of river discharge solely from satellite imagery and at-many-stations hydraulic geometry: Sensitivity to river form and optimization parameters,topic  22,0.094
Retrieval of river discharge solely from satellite imagery and at-many-stations hydraulic geometry: Sensitivity to river form and optimization parameters,topic  29,0.326
Retrieval of river discharge solely from satellite imagery and at-many-stations hydraulic geometry: Sensitivity to river form and optimization parameters,topic  47,0.151
Retrieving Corn Canopy Leaf Area Index Based on Sentinel-2 Image and PROSAIL Model Parameter Calibration,topic  5,0.18
Retrieving Corn Canopy Leaf Area Index Based on Sentinel-2 Image and PROSAIL Model Parameter Calibration,topic  10,0.379
Retrieving Corn Canopy Leaf Area Index Based on Sentinel-2 Image and PROSAIL Model Parameter Calibration,topic  45,0.408
Retrospective tillage differentiation using the Landsat-5 TM archive with discriminant analysis,topic  13,0.409
Retrospective tillage differentiation using the Landsat-5 TM archive with discriminant analysis,topic  26,0.186
Retrospective tillage differentiation using the Landsat-5 TM archive with discriminant analysis,topic  36,0.081
Retrospective tillage differentiation using the Landsat-5 TM archive with discriminant analysis,topic  41,0.292
"Returns on investment in watershed conservation: Application of a best practices analytical framework to the Rio Camboriu Water Producer program, Santa Catarina, Brazil",topic  4,0.493
"Returns on investment in watershed conservation: Application of a best practices analytical framework to the Rio Camboriu Water Producer program, Santa Catarina, Brazil",topic  21,0.213
"Returns on investment in watershed conservation: Application of a best practices analytical framework to the Rio Camboriu Water Producer program, Santa Catarina, Brazil",topic  33,0.097
"Returns on investment in watershed conservation: Application of a best practices analytical framework to the Rio Camboriu Water Producer program, Santa Catarina, Brazil",topic  36,0.07
"Returns on investment in watershed conservation: Application of a best practices analytical framework to the Rio Camboriu Water Producer program, Santa Catarina, Brazil",topic  48,0.091
Revealing Annual Crop Type Distribution and Spatiotemporal Changes in Northeast China Based on Google Earth Engine,topic  11,0.192
Revealing Annual Crop Type Distribution and Spatiotemporal Changes in Northeast China Based on Google Earth Engine,topic  13,0.07
Revealing Annual Crop Type Distribution and Spatiotemporal Changes in Northeast China Based on Google Earth Engine,topic  15,0.102
Revealing Annual Crop Type Distribution and Spatiotemporal Changes in Northeast China Based on Google Earth Engine,topic  41,0.558
Revealing preferences for urban biodiversity as an environmental good,topic  4,0.153
Revealing preferences for urban biodiversity as an environmental good,topic  16,0.307
Revealing preferences for urban biodiversity as an environmental good,topic  42,0.532
Revealing the ecological impact of low-speed mountain wind power on vegetation and soil erosion in South China: A case study of a typical wind farm in Yunnan,topic  11,0.228
Revealing the ecological impact of low-speed mountain wind power on vegetation and soil erosion in South China: A case study of a typical wind farm in Yunnan,topic  24,0.299
Revealing the ecological impact of low-speed mountain wind power on vegetation and soil erosion in South China: A case study of a typical wind farm in Yunnan,topic  27,0.307
Revealing the ecological impact of low-speed mountain wind power on vegetation and soil erosion in South China: A case study of a typical wind farm in Yunnan,topic  33,0.098
Revealing the ecological impact of low-speed mountain wind power on vegetation and soil erosion in South China: A case study of a typical wind farm in Yunnan,topic  49,0.051
Review article: Global monitoring of snow water equivalent using high-frequency radar remote sensing,topic  15,0.091
Review article: Global monitoring of snow water equivalent using high-frequency radar remote sensing,topic  20,0.057
Review article: Global monitoring of snow water equivalent using high-frequency radar remote sensing,topic  22,0.129
Review article: Global monitoring of snow water equivalent using high-frequency radar remote sensing,topic  36,0.106
Review article: Global monitoring of snow water equivalent using high-frequency radar remote sensing,topic  47,0.432
Review article: Global monitoring of snow water equivalent using high-frequency radar remote sensing,topic  49,0.091
Review of GPM IMERG performance: A global perspective,topic  47,0.961
Review of ICESat and ICESat-2 literature to enhance applications discovery,topic  14,0.454
Review of ICESat and ICESat-2 literature to enhance applications discovery,topic  20,0.339
Review of ICESat and ICESat-2 literature to enhance applications discovery,topic  43,0.15
Review of state-of-the-art decision support systems (DSSs) for prevention and suppression of forest fires,topic  3,0.188
Review of state-of-the-art decision support systems (DSSs) for prevention and suppression of forest fires,topic  5,0.085
Review of state-of-the-art decision support systems (DSSs) for prevention and suppression of forest fires,topic  20,0.132
Review of state-of-the-art decision support systems (DSSs) for prevention and suppression of forest fires,topic  38,0.211
Review of state-of-the-art decision support systems (DSSs) for prevention and suppression of forest fires,topic  39,0.096
Review of state-of-the-art decision support systems (DSSs) for prevention and suppression of forest fires,topic  44,0.255
Review of the status of urban flood monitoring and forecasting in TC region,topic  16,0.147
Review of the status of urban flood monitoring and forecasting in TC region,topic  18,0.079
Review of the status of urban flood monitoring and forecasting in TC region,topic  20,0.248
Review of the status of urban flood monitoring and forecasting in TC region,topic  39,0.521
"Review: Grass-based dairy systems, data and precision technologies",topic  14,0.078
"Review: Grass-based dairy systems, data and precision technologies",topic  18,0.298
"Review: Grass-based dairy systems, data and precision technologies",topic  22,0.282
"Review: Grass-based dairy systems, data and precision technologies",topic  41,0.211
"Review: Grass-based dairy systems, data and precision technologies",topic  50,0.102
Reviews and syntheses: An empirical spatiotemporal description of the global surface-atmosphere carbon fluxes: opportunities and data limitations,topic  7,0.66
Reviews and syntheses: An empirical spatiotemporal description of the global surface-atmosphere carbon fluxes: opportunities and data limitations,topic  30,0.221
Reviews and syntheses: An empirical spatiotemporal description of the global surface-atmosphere carbon fluxes: opportunities and data limitations,topic  48,0.057
Revisiting Ecosystem Services: Assessment and Valuation as Starting Points for Environmental Politics,topic  2,0.062
Revisiting Ecosystem Services: Assessment and Valuation as Starting Points for Environmental Politics,topic  22,0.93
Revisiting the effectiveness of HCHO/NO<sub>2</sub> ratios for inferring ozone sensitivity to its precursors using high resolution airborne remote sensing observations in a high ozone episode during the KORUS-AQ campaign,topic  7,0.381
Revisiting the effectiveness of HCHO/NO<sub>2</sub> ratios for inferring ozone sensitivity to its precursors using high resolution airborne remote sensing observations in a high ozone episode during the KORUS-AQ campaign,topic  23,0.585
"Richer histories for more relevant policies: 42years of tree cover loss and gain in Southeast Sulawesi, Indonesia",topic  22,0.116
"Richer histories for more relevant policies: 42years of tree cover loss and gain in Southeast Sulawesi, Indonesia",topic  38,0.646
"Richer histories for more relevant policies: 42years of tree cover loss and gain in Southeast Sulawesi, Indonesia",topic  48,0.166
"Rigorous quantification of statistical significance of the COVID-19 lockdown effect on air quality: The case from ground-based measurements in Ontario, Canada",topic  15,0.23
"Rigorous quantification of statistical significance of the COVID-19 lockdown effect on air quality: The case from ground-based measurements in Ontario, Canada",topic  23,0.746
"Riparian vegetation dynamics and evapotranspiration in the riparian corridor in the delta of the Colorado River, Mexico",topic  5,0.27
"Riparian vegetation dynamics and evapotranspiration in the riparian corridor in the delta of the Colorado River, Mexico",topic  25,0.076
"Riparian vegetation dynamics and evapotranspiration in the riparian corridor in the delta of the Colorado River, Mexico",topic  29,0.408
"Riparian vegetation dynamics and evapotranspiration in the riparian corridor in the delta of the Colorado River, Mexico",topic  50,0.112
"Risk Analysis of Coastal Erosion in Mentawai Island, West Sumatra Province, Indonesia",topic  19,0.13
"Risk Analysis of Coastal Erosion in Mentawai Island, West Sumatra Province, Indonesia",topic  33,0.066
"Risk Analysis of Coastal Erosion in Mentawai Island, West Sumatra Province, Indonesia",topic  39,0.751
Risk Assessment and Prediction of Soil Water Erosion on the Middle Northern Slope of Tianshan Mountain,topic  11,0.181
Risk Assessment and Prediction of Soil Water Erosion on the Middle Northern Slope of Tianshan Mountain,topic  15,0.119
Risk Assessment and Prediction of Soil Water Erosion on the Middle Northern Slope of Tianshan Mountain,topic  33,0.693
Risk factors and geospatial modelling for the presence of <i>Fasciola hepatica</i> infection in sheep and goat farms in the Greek temperate Mediterranean environment,topic  14,0.453
Risk factors and geospatial modelling for the presence of <i>Fasciola hepatica</i> infection in sheep and goat farms in the Greek temperate Mediterranean environment,topic  17,0.061
Risk factors and geospatial modelling for the presence of <i>Fasciola hepatica</i> infection in sheep and goat farms in the Greek temperate Mediterranean environment,topic  24,0.257
Risk factors and geospatial modelling for the presence of <i>Fasciola hepatica</i> infection in sheep and goat farms in the Greek temperate Mediterranean environment,topic  26,0.167
Risks to carbon storage from land-use change revealed by peat thickness maps of Peru,topic  30,0.333
Risks to carbon storage from land-use change revealed by peat thickness maps of Peru,topic  38,0.16
Risks to carbon storage from land-use change revealed by peat thickness maps of Peru,topic  48,0.385
Risks to carbon storage from land-use change revealed by peat thickness maps of Peru,topic  49,0.098
River Segmentation of Remote Sensing Images Based on Composite Attention Network,topic  28,0.892
River Segmentation of Remote Sensing Images Based on Composite Attention Network,topic  29,0.1
River fragmentation and barrier impacts on fishes have been greatly underestimated in the upper Mekong River,topic  25,0.698
River fragmentation and barrier impacts on fishes have been greatly underestimated in the upper Mekong River,topic  29,0.296
River health assessment using macroinvertebrates and water quality parameters: A case of the Orange River in Namibia,topic  23,0.125
River health assessment using macroinvertebrates and water quality parameters: A case of the Orange River in Namibia,topic  29,0.12
River health assessment using macroinvertebrates and water quality parameters: A case of the Orange River in Namibia,topic  36,0.565
River health assessment using macroinvertebrates and water quality parameters: A case of the Orange River in Namibia,topic  48,0.089
Road extraction through digital processing and visual interpretation of satellite images,topic  13,0.227
Road extraction through digital processing and visual interpretation of satellite images,topic  14,0.091
Road extraction through digital processing and visual interpretation of satellite images,topic  18,0.258
Road extraction through digital processing and visual interpretation of satellite images,topic  28,0.285
Road extraction through digital processing and visual interpretation of satellite images,topic  49,0.06
Roadmap for Integrated Space Applications in Africa,topic  3,0.144
Roadmap for Integrated Space Applications in Africa,topic  20,0.725
Roadmap for Integrated Space Applications in Africa,topic  30,0.123
Roadside as Invasion Pathway for Common Reed (<i>Phragmites australis</i>),topic  2,0.104
Roadside as Invasion Pathway for Common Reed (<i>Phragmites australis</i>),topic  31,0.89
Robust Initial Wetness Condition Framework of an Event-Based Rainfall-Runoff Model Using Remotely Sensed Soil Moisture,topic  34,0.672
Robust Initial Wetness Condition Framework of an Event-Based Rainfall-Runoff Model Using Remotely Sensed Soil Moisture,topic  47,0.323
Robust approach for optimal positioning and ranking potential rainwater harvesting structure (RWH): a case study of Iraq,topic  19,0.583
Robust approach for optimal positioning and ranking potential rainwater harvesting structure (RWH): a case study of Iraq,topic  24,0.056
Robust approach for optimal positioning and ranking potential rainwater harvesting structure (RWH): a case study of Iraq,topic  29,0.137
Robust approach for optimal positioning and ranking potential rainwater harvesting structure (RWH): a case study of Iraq,topic  40,0.181
Robust geographical detector,topic  11,0.319
Robust geographical detector,topic  19,0.14
Robust geographical detector,topic  26,0.092
Robust geographical detector,topic  49,0.2
Robust geographical detector,topic  50,0.244
Role of IRS-1C in Developing Remote Sensing Applications for Water Management in India,topic  3,0.143
Role of IRS-1C in Developing Remote Sensing Applications for Water Management in India,topic  5,0.087
Role of IRS-1C in Developing Remote Sensing Applications for Water Management in India,topic  14,0.287
Role of IRS-1C in Developing Remote Sensing Applications for Water Management in India,topic  20,0.158
Role of IRS-1C in Developing Remote Sensing Applications for Water Management in India,topic  29,0.227
Role of IRS-1C in Developing Remote Sensing Applications for Water Management in India,topic  36,0.075
Role of sunshades in space as a climate control option,topic  4,0.063
Role of sunshades in space as a climate control option,topic  15,0.082
Role of sunshades in space as a climate control option,topic  23,0.826
Romanian River Basins Lag Time Analysis. The SCS-CN Versus RNS Comparative Approach Developed for Small Watersheds,topic  12,0.097
Romanian River Basins Lag Time Analysis. The SCS-CN Versus RNS Comparative Approach Developed for Small Watersheds,topic  29,0.404
Romanian River Basins Lag Time Analysis. The SCS-CN Versus RNS Comparative Approach Developed for Small Watersheds,topic  33,0.204
Romanian River Basins Lag Time Analysis. The SCS-CN Versus RNS Comparative Approach Developed for Small Watersheds,topic  37,0.087
Romanian River Basins Lag Time Analysis. The SCS-CN Versus RNS Comparative Approach Developed for Small Watersheds,topic  48,0.052
Romanian River Basins Lag Time Analysis. The SCS-CN Versus RNS Comparative Approach Developed for Small Watersheds,topic  49,0.121
Routine implementation costs of larviciding with <i>Bacillus thuringiensis</i> <i>israelensis</i> against malaria vectors in a district in rural Burkina Faso,topic  40,0.997
Runoff Estimation in the Upper Reaches of the Heihe River Using an LSTM Model with Remote Sensing Data,topic  10,0.211
Runoff Estimation in the Upper Reaches of the Heihe River Using an LSTM Model with Remote Sensing Data,topic  24,0.08
Runoff Estimation in the Upper Reaches of the Heihe River Using an LSTM Model with Remote Sensing Data,topic  47,0.678
"Rural land use problems and management options in Debre Tsyon <i>Kebele</i>, Ethiopia",topic  19,0.07
"Rural land use problems and management options in Debre Tsyon <i>Kebele</i>, Ethiopia",topic  48,0.781
SADA-Net: A Shape Feature Optimization and Multiscale Context Information-Based Water Body Extraction Method for High-Resolution Remote Sensing Images,topic  28,0.834
SADA-Net: A Shape Feature Optimization and Multiscale Context Information-Based Water Body Extraction Method for High-Resolution Remote Sensing Images,topic  36,0.161
SAR SMALL SATELLITE CONSTELLATIONS: ADDED VALUE VS. EXISTING EARTH OBSERVATION SPACE SYSTEM,topic  20,0.687
SAR SMALL SATELLITE CONSTELLATIONS: ADDED VALUE VS. EXISTING EARTH OBSERVATION SPACE SYSTEM,topic  39,0.083
SAR SMALL SATELLITE CONSTELLATIONS: ADDED VALUE VS. EXISTING EARTH OBSERVATION SPACE SYSTEM,topic  49,0.196
SAR data for tropical forest disturbance alerts in French Guiana: Benefit over optical imagery,topic  1,0.411
SAR data for tropical forest disturbance alerts in French Guiana: Benefit over optical imagery,topic  28,0.088
SAR data for tropical forest disturbance alerts in French Guiana: Benefit over optical imagery,topic  38,0.294
SAR data for tropical forest disturbance alerts in French Guiana: Benefit over optical imagery,topic  49,0.164
SAR-Based Estimation of Above-Ground Biomass and Its Changes in Tropical Forests of Kalimantan Using L- and C-Band,topic  30,0.072
SAR-Based Estimation of Above-Ground Biomass and Its Changes in Tropical Forests of Kalimantan Using L- and C-Band,topic  38,0.118
SAR-Based Estimation of Above-Ground Biomass and Its Changes in Tropical Forests of Kalimantan Using L- and C-Band,topic  45,0.598
SAR-Based Estimation of Above-Ground Biomass and Its Changes in Tropical Forests of Kalimantan Using L- and C-Band,topic  47,0.063
SAR-Based Estimation of Above-Ground Biomass and Its Changes in Tropical Forests of Kalimantan Using L- and C-Band,topic  49,0.134
"SATELLITE BASED LIVE AND INTERACTIVE DISTANCE LEARNING PROGRAM IN THE FIELD OF GEOINFORMATICS - A PERSPECTIVE OF INDIAN INSTITUTE OF REMOTE SENSING, INDIA",topic  3,0.653
"SATELLITE BASED LIVE AND INTERACTIVE DISTANCE LEARNING PROGRAM IN THE FIELD OF GEOINFORMATICS - A PERSPECTIVE OF INDIAN INSTITUTE OF REMOTE SENSING, INDIA",topic  23,0.33
SATELLITE-BASED TEMPORAL ASSESSMENT OF A DRIED LAKE: CASE STUDY OF AKGOL WETLAND,topic  2,0.354
SATELLITE-BASED TEMPORAL ASSESSMENT OF A DRIED LAKE: CASE STUDY OF AKGOL WETLAND,topic  6,0.142
SATELLITE-BASED TEMPORAL ASSESSMENT OF A DRIED LAKE: CASE STUDY OF AKGOL WETLAND,topic  24,0.221
SATELLITE-BASED TEMPORAL ASSESSMENT OF A DRIED LAKE: CASE STUDY OF AKGOL WETLAND,topic  25,0.092
SATELLITE-BASED TEMPORAL ASSESSMENT OF A DRIED LAKE: CASE STUDY OF AKGOL WETLAND,topic  36,0.107
SATELLITE-BASED TEMPORAL ASSESSMENT OF A DRIED LAKE: CASE STUDY OF AKGOL WETLAND,topic  39,0.077
SBAS-Africa: A Cost Effective Southern African Solution Serving Multiple Market Sectors,topic  18,0.659
SBAS-Africa: A Cost Effective Southern African Solution Serving Multiple Market Sectors,topic  20,0.276
SDI and Smart Technologies for the Dissemination of EO-Derived Information on a Rural District,topic  18,0.285
SDI and Smart Technologies for the Dissemination of EO-Derived Information on a Rural District,topic  20,0.235
SDI and Smart Technologies for the Dissemination of EO-Derived Information on a Rural District,topic  41,0.296
SDI and Smart Technologies for the Dissemination of EO-Derived Information on a Rural District,topic  49,0.132
SDN-based Traffic Engineering for Improved Resilience in Integrated Satellite-Terrestrial Backhaul Networks,topic  18,0.916
SDN-based Traffic Engineering for Improved Resilience in Integrated Satellite-Terrestrial Backhaul Networks,topic  30,0.059
SEASONAL VARIATION IN SPACE USE BY NONBREEDING BALD EAGLES WITHIN THE UPPER CHESAPEAKE BAY,topic  15,0.101
SEASONAL VARIATION IN SPACE USE BY NONBREEDING BALD EAGLES WITHIN THE UPPER CHESAPEAKE BAY,topic  25,0.394
SEASONAL VARIATION IN SPACE USE BY NONBREEDING BALD EAGLES WITHIN THE UPPER CHESAPEAKE BAY,topic  35,0.498
SEBU: A novel fully automated Google Earth Engine surface energy balance model for urban areas,topic  10,0.229
SEBU: A novel fully automated Google Earth Engine surface energy balance model for urban areas,topic  16,0.14
SEBU: A novel fully automated Google Earth Engine surface energy balance model for urban areas,topic  18,0.219
SEBU: A novel fully automated Google Earth Engine surface energy balance model for urban areas,topic  21,0.066
SEBU: A novel fully automated Google Earth Engine surface energy balance model for urban areas,topic  22,0.074
SEBU: A novel fully automated Google Earth Engine surface energy balance model for urban areas,topic  49,0.201
SERVIR HIMALAYA: ENABLING IMPROVED ENVIRONMENTAL MANAGEMENT AND LIVELIHOODS IN THE HKH,topic  20,0.983
"SITE SUITABILITY ANALYSIS AND ROUTE OPTIMIZATION FOR SOLID WASTE DISPOSAL IN YOLA TOWN, ADAMAWA STATE NIGERIA",topic  9,0.546
"SITE SUITABILITY ANALYSIS AND ROUTE OPTIMIZATION FOR SOLID WASTE DISPOSAL IN YOLA TOWN, ADAMAWA STATE NIGERIA",topic  40,0.43
SMOS-NEXT: A NEW CONCEPT FOR SOIL MOISTURE RETRIEVAL FROM PASSIVE INTERFEROMETRIC OBSERVATIONS,topic  34,0.782
SMOS-NEXT: A NEW CONCEPT FOR SOIL MOISTURE RETRIEVAL FROM PASSIVE INTERFEROMETRIC OBSERVATIONS,topic  49,0.206
"SNOW AVALANCHE SUSCEPTIBILITY MAPPING FOR DAVOS, SWITZERLAND",topic  13,0.051
"SNOW AVALANCHE SUSCEPTIBILITY MAPPING FOR DAVOS, SWITZERLAND",topic  19,0.849
SOIL EROSION ESTIMATION BASED ON GIS AND REMOTE SENSING FOR SUPPORTING INTEGRATED WATER RESOURCES CONSERVATION MANAGEMENT,topic  14,0.11
SOIL EROSION ESTIMATION BASED ON GIS AND REMOTE SENSING FOR SUPPORTING INTEGRATED WATER RESOURCES CONSERVATION MANAGEMENT,topic  24,0.084
SOIL EROSION ESTIMATION BASED ON GIS AND REMOTE SENSING FOR SUPPORTING INTEGRATED WATER RESOURCES CONSERVATION MANAGEMENT,topic  33,0.766
"SPATIAL DYNAMICS OF DEFORESTATION AND FOREST FRAGMENTATION (1930-2013) IN EASTERN GHATS, INDIA",topic  32,0.204
"SPATIAL DYNAMICS OF DEFORESTATION AND FOREST FRAGMENTATION (1930-2013) IN EASTERN GHATS, INDIA",topic  38,0.349
"SPATIAL DYNAMICS OF DEFORESTATION AND FOREST FRAGMENTATION (1930-2013) IN EASTERN GHATS, INDIA",topic  48,0.359
"SPATIAL DYNAMICS OF DEFORESTATION AND FOREST FRAGMENTATION (1930-2013) IN EASTERN GHATS, INDIA",topic  49,0.06
SPATIO-TEMPORAL ASSESSMENT OF ECOSYSTEM SERVICES VALUE ON REGIONAL SCALE,topic  2,0.274
SPATIO-TEMPORAL ASSESSMENT OF ECOSYSTEM SERVICES VALUE ON REGIONAL SCALE,topic  6,0.373
SPATIO-TEMPORAL ASSESSMENT OF ECOSYSTEM SERVICES VALUE ON REGIONAL SCALE,topic  10,0.066
SPATIO-TEMPORAL ASSESSMENT OF ECOSYSTEM SERVICES VALUE ON REGIONAL SCALE,topic  33,0.21
SPATIO-TEMPORAL ASSESSMENT OF ECOSYSTEM SERVICES VALUE ON REGIONAL SCALE,topic  34,0.07
SPATIO-TEMPORAL VARIATION OF NET PRIMARY PRODUCTIVITY IN A RAPIDLY EXPANDING ARTIFICIAL WOODLAND AREA BASED ON REMOTE-SENSING DATA,topic  11,0.443
SPATIO-TEMPORAL VARIATION OF NET PRIMARY PRODUCTIVITY IN A RAPIDLY EXPANDING ARTIFICIAL WOODLAND AREA BASED ON REMOTE-SENSING DATA,topic  34,0.192
SPATIO-TEMPORAL VARIATION OF NET PRIMARY PRODUCTIVITY IN A RAPIDLY EXPANDING ARTIFICIAL WOODLAND AREA BASED ON REMOTE-SENSING DATA,topic  38,0.163
SPATIO-TEMPORAL VARIATION OF NET PRIMARY PRODUCTIVITY IN A RAPIDLY EXPANDING ARTIFICIAL WOODLAND AREA BASED ON REMOTE-SENSING DATA,topic  48,0.183
SPATIOTEMPORAL CHANGE OF LANDSCAPE ELASTICITY IN YANCHENG COASTAL WETLAND OF CHINA,topic  2,0.64
SPATIOTEMPORAL CHANGE OF LANDSCAPE ELASTICITY IN YANCHENG COASTAL WETLAND OF CHINA,topic  11,0.312
SPATIOTEMPORAL CHANGES IN COTTON GROWING AREAS IN XINJIANG (2000-2015),topic  9,0.278
SPATIOTEMPORAL CHANGES IN COTTON GROWING AREAS IN XINJIANG (2000-2015),topic  11,0.474
SPATIOTEMPORAL CHANGES IN COTTON GROWING AREAS IN XINJIANG (2000-2015),topic  41,0.24
"SPATIOTEMPORAL VARIATIONS OF LAND SURFACE TEMPERATURE AND VEGETATION COVERAGE IN FREE STATE PROVINCE, SOUTH AFRICA",topic  15,0.436
"SPATIOTEMPORAL VARIATIONS OF LAND SURFACE TEMPERATURE AND VEGETATION COVERAGE IN FREE STATE PROVINCE, SOUTH AFRICA",topic  24,0.449
"SPATIOTEMPORAL VARIATIONS OF LAND SURFACE TEMPERATURE AND VEGETATION COVERAGE IN FREE STATE PROVINCE, SOUTH AFRICA",topic  48,0.104
SPECIES DISTRIBUTION MODELING IN FOREST PLANNING OF ANNUAL PRODUCTION UNITS IN THE SOUTHWEST AMAZONIA,topic  22,0.367
SPECIES DISTRIBUTION MODELING IN FOREST PLANNING OF ANNUAL PRODUCTION UNITS IN THE SOUTHWEST AMAZONIA,topic  26,0.27
SPECIES DISTRIBUTION MODELING IN FOREST PLANNING OF ANNUAL PRODUCTION UNITS IN THE SOUTHWEST AMAZONIA,topic  38,0.109
SPECIES DISTRIBUTION MODELING IN FOREST PLANNING OF ANNUAL PRODUCTION UNITS IN THE SOUTHWEST AMAZONIA,topic  40,0.212
SPOT-4 VEGETATION INSTRUMENT - VEGETATION MONITORING ON A GLOBAL-SCALE,topic  3,0.104
